sigma_deg,trial,target_rank,target_chi2,best_chi2,best_gap_chi2,top1_norad,top1_correct,top3_contains_target,top10_contains_target,equivalent_best,ambiguous_best_count
0,1,1,0,0,4.13057e+07,68917,1,1,1,1,1
0,2,1,0,0,4.13057e+07,68917,1,1,1,1,1
0,3,1,0,0,4.13057e+07,68917,1,1,1,1,1
0,4,1,0,0,4.13057e+07,68917,1,1,1,1,1
0,5,1,0,0,4.13057e+07,68917,1,1,1,1,1
0.05,1,1,19.1752,19.1752,16378.1,68917,1,1,1,1,1
0.05,2,1,21.9721,21.9721,16666,68917,1,1,1,1,1
0.05,3,1,20.7654,20.7654,16721.3,68917,1,1,1,1,1
0.05,4,1,20.9733,20.9733,16267.7,68917,1,1,1,1,1
0.05,5,1,20.0544,20.0544,17022.9,68917,1,1,1,1,1
0.1,1,1,27.4391,27.4391,4080.78,68917,1,1,1,1,1
0.1,2,1,19.8696,19.8696,3849.9,68917,1,1,1,1,1
0.1,3,1,22.5464,22.5464,4153.01,68917,1,1,1,1,1
0.1,4,1,28.9918,28.9918,4455.25,68917,1,1,1,1,1
0.1,5,1,16.0139,16.0139,3945.54,68917,1,1,1,1,1
0.2,1,1,28.2025,28.2025,997.279,68917,1,1,1,1,1
0.2,2,1,36.6141,36.6141,955.842,68917,1,1,1,1,1
0.2,3,1,18.5726,18.5726,1050.54,68917,1,1,1,1,1
0.2,4,1,23.5545,23.5545,1054.57,68917,1,1,1,1,1
0.2,5,1,15.6615,15.6615,1041.83,68917,1,1,1,1,1
0.5,1,1,23.5765,23.5765,196.872,68917,1,1,1,1,1
0.5,2,1,12.0226,12.0226,174.177,68917,1,1,1,1,1
0.5,3,1,24.3739,24.3739,182.394,68917,1,1,1,1,1
0.5,4,1,26.7478,26.7478,94.093,68917,1,1,1,1,1
0.5,5,1,18,18,131.618,68917,1,1,1,1,1
1,1,1,15.3645,15.3645,29.187,68917,1,1,1,1,1
1,2,1,30.5161,30.5161,34.7957,68917,1,1,1,1,1
1,3,1,17.3305,17.3305,30.3018,68917,1,1,1,1,1
1,4,1,19.2032,19.2032,47.3257,68917,1,1,1,1,1
1,5,1,28.1668,28.1668,51.189,68917,1,1,1,1,1
2,1,1,27.6913,27.6913,13.0071,68917,1,1,1,1,1
2,2,1,25.2795,25.2795,8.07761,68917,1,1,1,1,1
2,3,1,14.2738,14.2738,1.90235,68917,1,1,1,1,1
2,4,1,24.1172,24.1172,8.74319,68917,1,1,1,1,1
2,5,1,33.7929,33.7929,9.08479,68917,1,1,1,1,1
