catalog_size,repeat,observations,runtime_us,runtime_ms
10,1,10,517,0.517
10,2,10,523,0.523
10,3,10,851,0.851
10,4,10,521,0.521
10,5,10,508,0.508
25,1,10,1254,1.254
25,2,10,1471,1.471
25,3,10,1270,1.27
25,4,10,1273,1.273
25,5,10,2377,2.377
50,1,10,2470,2.47
50,2,10,2788,2.788
50,3,10,3162,3.162
50,4,10,2444,2.444
50,5,10,2955,2.955
100,1,10,5874,5.874
100,2,10,4843,4.843
100,3,10,4853,4.853
100,4,10,4777,4.777
100,5,10,5812,5.812
250,1,10,13593,13.593
250,2,10,13096,13.096
250,3,10,12866,12.866
250,4,10,13456,13.456
250,5,10,13615,13.615
500,1,10,27510,27.51
500,2,10,24250,24.25
500,3,10,25641,25.641
500,4,10,25109,25.109
500,5,10,27291,27.291
1000,1,10,53064,53.064
1000,2,10,48730,48.73
1000,3,10,48695,48.695
1000,4,10,50887,50.887
1000,5,10,49306,49.306
2500,1,10,121894,121.894
2500,2,10,119360,119.36
2500,3,10,122186,122.186
2500,4,10,122528,122.528
2500,5,10,122476,122.476
5000,1,10,243079,243.079
5000,2,10,241561,241.561
5000,3,10,242053,242.053
5000,4,10,242478,242.478
5000,5,10,303052,303.052
10321,1,10,496040,496.04
10321,2,10,508809,508.809
10321,3,10,498012,498.012
10321,4,10,501225,501.225
10321,5,10,499638,499.638
